Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
10-06-2026,17:30,10-06-2026,,,Degiro Cash Sweep Transfer,,EUR,848.11,EUR,157.80,
10-06-2026,17:30,10-06-2026,,,Transfer from your Cash Account at flatexDEGIRO Bank SE: 848.11 EUR,,,,EUR,-690.31,
10-06-2026,16:08,10-06-2026,CONSTELLATION ENERGY CORP,US21037T1097,FX Credit,1.1535,USD,976.00,USD,0.00,ac-001
10-06-2026,16:08,10-06-2026,CONSTELLATION ENERGY CORP,US21037T1097,FX Debit,,EUR,-846.11,EUR,157.80,ac-001
10-06-2026,16:08,10-06-2026,CONSTELLATION ENERGY CORP,US21037T1097,DEGIRO Transaction and/or third party fees,,EUR,-2.00,EUR,1003.91,ac-001
10-06-2026,16:08,10-06-2026,CONSTELLATION ENERGY CORP,US21037T1097,Buy 4 Constellation Energy Corp@244 USD (US21037T1097),,USD,-976.00,USD,-976.00,ac-001
08-06-2026,10:40,08-06-2026,,,flatex Deposit,,EUR,1000.00,EUR,1005.91,
03-06-2026,18:56,03-06-2026,,,Degiro Cash Sweep Transfer,,EUR,2.50,EUR,5.91,
03-06-2026,18:56,03-06-2026,,,Transfer from your Cash Account at flatexDEGIRO Bank SE: 2.5 EUR,,,,EUR,3.41,
03-06-2026,08:26,31-05-2026,,,DEGIRO Exchange Connection Fee 2026 (New York Stock Exchange - NSY),,EUR,-2.50,EUR,5.91,
26-05-2026,21:20,26-05-2026,,,Transfer from your Cash Account at flatexDEGIRO Bank SE: 992.14 EUR,,,,EUR,8.41,
26-05-2026,21:20,26-05-2026,,,Degiro Cash Sweep Transfer,,EUR,992.14,EUR,1000.55,
26-05-2026,20:49,26-05-2026,VISTRA CORP,US92840M1027,FX Credit,1.1600,USD,1148.56,USD,0.00,ac-002
26-05-2026,20:49,26-05-2026,VISTRA CORP,US92840M1027,FX Debit,,EUR,-990.14,EUR,8.41,ac-002
26-05-2026,20:49,26-05-2026,VISTRA CORP,US92840M1027,DEGIRO Transaction and/or third party fees,,EUR,-2.00,EUR,998.55,ac-002
26-05-2026,20:49,26-05-2026,VISTRA CORP,US92840M1027,Buy 7 Vistra Corp@164.08 USD (US92840M1027),,USD,-1148.56,USD,-1148.56,ac-002
07-05-2026,11:00,07-05-2026,,,flatex Deposit,,EUR,1000.00,EUR,1000.55,
14-04-2026,09:50,14-04-2026,,,Degiro Cash Sweep Transfer,,EUR,1094.50,EUR,0.55,
14-04-2026,09:50,14-04-2026,,,"Transfer from your Cash Account at flatexDEGIRO Bank SE: 1,094.5 EUR",,,,EUR,-1093.95,
14-04-2026,08:00,14-04-2026,ALPHABET INC CLASS A,US02079K3059,DEGIRO Transaction and/or third party fees,,EUR,-3.90,EUR,0.55,ac-003
